scope,ticker,variant,start,end,xirr,multiple,invested,n_doubles,n_skips
full,SPY,daily,1999-03-10,2026-07-10,0.113759,6.11893,687600,0,0
full,SPY,dip1,1999-03-10,2026-07-10,0.113792,6.12332,687600,930,930
full,SPY,dip2,1999-03-10,2026-07-10,0.113779,6.12129,687600,300,300
full,SPY,dip3,1999-03-10,2026-07-10,0.113767,6.11977,687600,94,94
window,SPY,daily,2000-01-05,2018-01-05,0.0947093,2.51475,453000,0,0
window,SPY,dip1,2000-01-05,2018-01-05,0.0947727,2.5167,453000,631,631
window,SPY,dip2,2000-01-05,2018-01-05,0.0947447,2.51574,453000,205,205
window,SPY,dip3,2000-01-05,2018-01-05,0.0947238,2.51514,453000,61,61
window,SPY,daily,2006-06-01,2024-05-31,0.12623,3.50427,453100,0,0
window,SPY,dip1,2006-06-01,2024-05-31,0.126273,3.50639,453100,573,573
window,SPY,dip2,2006-06-01,2024-05-31,0.126273,3.506,453100,197,197
window,SPY,dip3,2006-06-01,2024-05-31,0.126253,3.50518,453100,75,75
window,SPY,daily,2005-04-20,2023-04-20,0.109303,2.93009,453200,0,0
window,SPY,dip1,2005-04-20,2023-04-20,0.109346,2.93176,453200,569,569
window,SPY,dip2,2005-04-20,2023-04-20,0.109344,2.93143,453200,197,197
window,SPY,dip3,2005-04-20,2023-04-20,0.109325,2.9308,453200,75,75
window,SPY,daily,2003-04-15,2021-04-15,0.122158,3.35671,453200,0,0
window,SPY,dip1,2003-04-15,2021-04-15,0.1222,3.35857,453200,533,533
window,SPY,dip2,2003-04-15,2021-04-15,0.122193,3.35804,453200,172,172
window,SPY,dip3,2003-04-15,2021-04-15,0.122177,3.3574,453200,67,67
window,SPY,daily,2003-03-27,2021-03-26,0.118028,3.21181,453200,0,0
window,SPY,dip1,2003-03-27,2021-03-26,0.118071,3.21361,453200,535,535
window,SPY,dip2,2003-03-27,2021-03-26,0.118064,3.2131,453200,173,173
window,SPY,dip3,2003-03-27,2021-03-26,0.118047,3.21247,453200,67,67
window,SPY,daily,2007-03-16,2025-03-14,0.127783,3.56342,452900,0,0
window,SPY,dip1,2007-03-16,2025-03-14,0.127827,3.56568,452900,585,585
window,SPY,dip2,2007-03-16,2025-03-14,0.127828,3.56528,452900,201,201
window,SPY,dip3,2007-03-16,2025-03-14,0.127807,3.56439,452900,74,74
window,SPY,daily,1999-12-23,2017-12-22,0.0927623,2.46317,453000,0,0
window,SPY,dip1,1999-12-23,2017-12-22,0.0928261,2.46508,453000,632,632
window,SPY,dip2,1999-12-23,2017-12-22,0.0927978,2.46414,453000,206,206
window,SPY,dip3,1999-12-23,2017-12-22,0.0927768,2.46356,453000,62,62
window,SPY,daily,2005-09-13,2023-09-13,0.114506,3.09503,453100,0,0
window,SPY,dip1,2005-09-13,2023-09-13,0.11455,3.09682,453100,570,570
window,SPY,dip2,2005-09-13,2023-09-13,0.114548,3.09649,453100,197,197
window,SPY,dip3,2005-09-13,2023-09-13,0.114529,3.0958,453100,75,75
window,SPY,daily,2001-01-23,2019-01-23,0.0890858,2.37316,452800,0,0
window,SPY,dip1,2001-01-23,2019-01-23,0.0891468,2.3749,452800,606,606
window,SPY,dip2,2001-01-23,2019-01-23,0.089121,2.37408,452800,197,197
window,SPY,dip3,2001-01-23,2019-01-23,0.0890995,2.37351,452800,63,63
window,SPY,daily,2000-01-24,2018-01-24,0.0978826,2.59994,453000,0,0
window,SPY,dip1,2000-01-24,2018-01-24,0.0979442,2.60193,453000,627,627
window,SPY,dip2,2000-01-24,2018-01-24,0.0979176,2.60097,453000,204,204
window,SPY,dip3,2000-01-24,2018-01-24,0.097897,2.60035,453000,61,61
window,SPY,daily,2004-02-09,2022-02-09,0.125712,3.48608,453400,0,0
window,SPY,dip1,2004-02-09,2022-02-09,0.125751,3.48794,453400,531,531
window,SPY,dip2,2004-02-09,2022-02-09,0.125749,3.48755,453400,174,174
window,SPY,dip3,2004-02-09,2022-02-09,0.125732,3.48684,453400,67,67
window,SPY,daily,2008-04-18,2026-04-17,0.143393,4.21293,452800,0,0
