freq,years,start,end,n_buys,g0_SPY,s_SPY,g0_QQQ,s_QQQ
W,1,2001-07-12,2002-07-12,53,0.768227,44.1485,0.568808,37.7371
W,1,2019-07-25,2020-07-24,53,1.09095,57.3592,1.33277,65.4524
W,1,2016-06-02,2017-06-02,53,1.18161,58.5534,1.31063,63.119
W,1,2010-09-28,2011-09-28,53,1.02406,49.111,1.11281,52.6807
W,1,2010-08-03,2011-08-03,53,1.14687,54.2656,1.23229,56.2462
W,1,2021-10-14,2022-10-14,53,0.820433,45.2205,0.715623,41.9451
W,1,2001-06-11,2002-06-11,53,0.819046,48.1113,0.596309,40.1042
W,1,2017-07-19,2018-07-19,53,1.15485,56.9499,1.25347,60.3255
W,1,2004-06-30,2005-06-30,53,1.06138,55.0457,0.984807,53.4635
W,1,2001-08-27,2002-08-27,53,0.806719,47.0378,0.619314,40.0845
W,1,2013-01-17,2014-01-17,53,1.26587,59.6802,1.32266,62.6483
W,1,2024-11-13,2025-11-13,53,1.13902,59.1014,1.19411,60.8498
W,1,2018-07-23,2019-07-23,53,1.09195,57.6817,1.08866,58.929
W,1,2019-03-25,2020-03-25,53,0.902497,44.5883,1.03164,49.9738
W,1,2018-01-29,2019-01-29,53,0.94286,51.8747,0.957879,50.9598
W,1,2019-11-15,2020-11-13,53,1.17074,61.4642,1.44246,66.6317
W,1,2012-09-11,2013-09-11,53,1.20344,59.0156,1.15666,59.854
W,1,2002-07-25,2003-07-25,53,1.21368,59.5733,1.42921,65.9797
W,1,2021-04-19,2022-04-19,53,1.08595,53.8362,1.02667,51.0547
W,1,2011-01-14,2012-01-13,53,1.01735,54.6327,1.03026,55.1432
W,1,2012-05-09,2013-05-09,53,1.22663,60.7944,1.14367,58.5143
W,1,2008-12-11,2009-12-11,53,1.29624,64.6876,1.52508,67.4574
W,1,2003-12-30,2004-12-30,53,1.11036,57.3906,1.1043,58.8878
W,1,2023-08-02,2024-08-02,53,1.20044,58.8433,1.20689,57.8249
W,1,2019-10-04,2020-10-02,53,1.15609,58.3008,1.46163,65.5917
W,1,2016-02-22,2017-02-22,53,1.23911,59.0678,1.27763,60.9554
W,1,2009-10-12,2010-10-12,53,1.10811,56.234,1.18768,58.4478
W,1,2020-11-03,2021-11-03,53,1.40245,61.0648,1.43923,62.4157
