date,invested_nzd_cum,invested_usd_cum,value_SPY_weekly_usd,value_SPY_daily_usd,value_SPY_dip_usd,value_QQQ_weekly_usd,value_QQQ_daily_usd,value_QQQ_dip_usd
2019-02-25,306.1224489795918,210.17819034809966,210.17819034809966,43.54643267254497,43.54643267254497,210.17819034809966,43.54643267254497,43.54643267254497
2019-03-04,612.2448979591836,419.04282813169516,418.952600424808,260.9483618679164,260.9483618679164,420.1329642548749,261.9004978082726,261.9004978082726
2019-03-11,918.3673469387754,627.4169683456421,625.8872237072289,476.7322597766397,476.7322597766397,629.2537097895769,479.860391385661,479.860391385661
2019-03-18,1224.4897959183672,836.9148081662704,846.9244950815322,704.1351212775832,704.1351212775832,853.3181414062424,709.8791004197908,709.8791004197908
2019-03-25,1530.612244897959,1047.450042500788,1047.5905935040573,912.1746318025528,912.1746318025528,1062.7533295408057,925.3202168300276,925.3202168300276
2019-04-01,1836.7346938775509,1256.3517385599566,1281.9839559658872,1154.443183964556,1154.443183964556,1294.4343652960406,1165.4499580847585,1165.4499580847585
2019-04-08,2142.8571428571427,1462.4254192624776,1501.3337014749263,1381.967855589012,1381.967855589012,1522.4804451802377,1401.0713203776947,1401.0713203776947
2019-04-15,2448.9795918367345,1669.6303170554495,1714.6728225070249,1602.5772689208604,1602.5772689208604,1735.6885323116028,1621.2883836149754,1621.2883836149754
2019-04-22,2755.1020408163263,1874.3123509445973,1921.1292787490868,1774.962564009909,1774.962564009909,1959.6084686988381,1810.4341073294065,1810.4341073294065
2019-04-29,3061.224489795918,2078.410320136012,2149.0533918946253,2008.4651067933028,2008.4651067933028,2196.0323333538827,2051.731389222254,2051.731389222254
2019-05-06,3367.34693877551,2280.683639098187,2343.6480872247353,2211.7579473089377,2211.7579473089377,2385.8894426565475,2251.029595941573,2251.029595941573
2019-05-13,3673.4693877551017,2482.4676282551827,2449.7073185730683,2326.626115625181,2326.626115625181,2444.9771689182317,2319.3074661573746,2361.114719724786
2019-05-20,3979.5918367346935,2682.3047168400826,2676.495907092744,2559.1994737884083,2559.1994737884083,2663.571782881747,2542.3030127670695,2542.8541024992105
2019-05-28,4285.714285714285,2882.7082806703997,2841.0809888982444,2729.610065768651,2729.610065768651,2827.5627278543334,2712.4692745969314,2713.01283060293
2019-06-03,4591.836734693878,3082.7347113161672,2984.519330965886,2839.4689476106287,2839.4689476106287,2910.1801056582613,2761.526512328219,2762.047498226328
2019-06-10,4897.959183673469,3286.522894489522,3344.8312344201067,3201.3160179773513,3201.3160179773513,3336.8670569947453,3188.434923581935,3188.99581323538
2019-06-17,5204.08163265306,3485.4690700161213,3548.408562740049,3414.187889259594,3414.187889259594,3546.5622066002616,3407.671162929171,3408.2338593637205
2019-06-24,5510.204081632652,3687.432767177115,3820.24642587052,3689.753631030774,3689.753631030774,3841.87094375243,3705.9420924411106,3706.5195989700915
2019-07-01,5816.326530612243,3893.244576697447,4052.336809733594,3929.1914669616226,3929.1914669616226,4070.1422268763336,3942.1836545818783,3942.764537198404
2019-07-08,6122.448979591834,4096.236818907212,4271.229185547411,4113.347726103229,4113.347726103229,4282.813134540101,4120.008229768035,4120.590493704474
2019-07-15,6428.571428571426,4301.183333202284,4532.727473497049,4379.6134556366005,4379.6134556366005,4587.995385927627,4428.847122677663,4429.443014025111
2019-07-22,6734.693877551017,4508.148693308538,4696.740233781509,4551.571625817259,4551.571625817259,4756.677014140158,4605.925702543065,4606.5166215784975
2019-07-29,7040.816326530608,4711.32821574503,4956.047389024425,4818.386250974504,4818.386250974504,5011.492455944906,4868.223455654034,4868.820789387706
2019-08-05,7346.9387755102,4911.003678428883,4865.718856616592,4737.88275308155,4779.253144927254,4853.499743581405,4720.675513523137,4762.600607637276
2019-08-12,7653.061224489791,5108.844108727513,5136.420432072568,5013.689893000027,5014.03451336108,5148.554160025227,5020.258149650166,5021.169293432085
2019-08-19,7959.1836734693825,5305.579633128886,5409.112514101015,5294.910037548264,5295.259754099681,5459.237323602702,5338.909867381244,5339.841176568765
2019-08-26,8265.306122448974,5500.364826650035,5523.778393728404,5418.2002863112475,5418.544822890888,5549.432825625105,5438.044730664679,5439.730800717238
2019-09-03,8571.428571428565,5693.381459129099,5769.347385554529,5671.197452082476,5671.545266528977,5767.369530749078,5663.111461686479,5664.80510314129
2019-09-09,8877.551020408157,5890.129628230114,6114.1300548670115,5979.057293733616,5979.414032679599,6136.223916755349,5994.211742323219,5995.955924361917
2019-09-16,9183.673469387748,6085.601394273796,6349.788322478062,6221.648027948626,6222.007111641953,6347.420835001554,6212.433436314753,6214.1820881264575
2019-09-23,9489.79591836734,6277.45792573812,6529.526602981111,6409.5448767249845,6409.9032751251825,6512.925634878632,6385.911499038714,6387.652891208372
2019-09-30,9795.91836734693,6469.89821171274,6690.435898113248,6578.383919346696,6578.740587046131,6647.585973772708,6529.058665252906,6530.784608520942
2019-10-07,10102.040816326522,6663.265976370597,6800.615004700448,6696.564669841925,6696.916902747014,6820.886920258205,6709.915957432434,6711.636690660333
2019-10-14,10408.163265306113,6856.99843022288,7060.941504426602,6964.128930958981,6964.484613054214,7117.886617783644,7014.049344805977,7015.796129686633
2019-10-21,10714.285714285705,7052.488168891595,7352.821431333281,7260.542202728799,7260.902740304577,7399.048936062145,7299.457648644648,7301.2254582444075
2019-10-28,11020.408163265296,7247.142061895253,7628.604498321896,7545.171365844081,7545.535881500381,7753.631312596709,7663.552852020917,7665.35887235707
2019-11-04,11326.530612244887,7444.13458571142,7927.9642461510675,7850.846747964665,7851.216155007831,8049.911877962567,7966.774769499277,7968.6039165763
2019-11-11,11632.653061224479,7637.992172825093,8147.100543896368,8078.213839315229,8078.584424231232,8278.367336857802,8203.512948958,8205.349957561586
2019-11-18,11938.77551020407,7833.965730910399,8440.039858382172,8377.816545187912,8378.19154075854,8561.261922039646,8492.940929640223,8494.797226428074
2019-11-25,12244.897959183661,8030.169137886593,8672.761769019484,8618.630160632058,8619.006778739706,8805.944767626957,8745.924525052782,8747.791333401545
2019-12-02,12551.020408163253,8227.070430103613,8821.785797421537,8732.859493173986,8733.23403219253,8950.242544542225,8855.306957202905,8857.162613916706
2019-12-09,12857.142857142844,8427.86176472294,9085.982866553923,9003.854044729042,9004.231275710656,9198.209913727127,9110.140636672555,9112.00607440903
2019-12-16,13163.265306122436,8629.679016920985,9450.485362930302,9375.721455327055,9376.105440659327,9634.411642712717,9553.813813837643,9555.72678578479
2019-12-23,13469.387755102027,8831.949653674146,9750.347373960501,9682.788600759299,9683.176551354181,9974.759177843831,9901.336785102514,9903.277173070788
2019-12-30,13775.510204081618,9037.248030000805,9951.391717695553,9847.163738897794,9847.551520231584,10198.895042643186,10088.599803093055,10090.543855514308
