start,end,multiple,xirr,max_dd
2000-09-21,2010-09-21,1.0717917466094622,0.010965769939239155,-0.46680628370717725
2012-08-06,2022-08-05,2.343057476851854,0.13148405551553285,-0.2291430383346441
2010-07-15,2020-07-15,2.346800156270033,0.13119588630426043,-0.23123916545716428
2006-10-17,2016-10-17,1.7554854553351764,0.08719824180572416,-0.37792347674543014
2006-09-11,2016-09-09,1.7848274785682825,0.08999236050383962,-0.3833977739294412
2014-01-28,2024-01-26,2.2866879254092582,0.12674266617818564,-0.22671804091923642
2000-08-30,2010-08-30,0.9732074276222787,-0.00430362409133927,-0.4663374245979356
2011-04-08,2021-04-08,2.6267644804577777,0.14855209996472313,-0.2303708574037061
2002-09-06,2012-09-06,1.5170569602382966,0.06521430038294582,-0.4636342956710915
2000-10-20,2010-10-20,1.1136698685709732,0.01700166925817591,-0.46672793656367884
2008-04-25,2018-04-25,2.0790571350298706,0.11250486926910325,-0.3298332006973289
2016-02-05,2026-02-05,2.7033852210481975,0.15300511226041497,-0.2232358489152474
2011-12-07,2021-12-07,2.8995059979525237,0.16348126444112154,-0.22998302720748787
2012-05-17,2022-05-17,2.41837508116944,0.13565747457954114,-0.2295583098582572
2011-08-15,2021-08-13,2.9011534943038813,0.16320155597432356,-0.23036773879768868
2012-10-19,2022-10-19,2.044346386846383,0.1102167596481589,-0.22890025795577362
2008-02-01,2018-02-01,2.2335169586644152,0.12436754234582291,-0.3375040766491185
2001-05-24,2011-05-24,1.2713430271164352,0.037606143857671234,-0.4645903337615389
2013-09-27,2023-09-27,2.0862202112997714,0.11291673926133543,-0.22734523036054044
2006-12-28,2016-12-28,1.829971683988092,0.09309735223184112,-0.3707227386025992
2007-11-09,2017-11-09,2.0416105037284713,0.11040993991489882,-0.34231799628186865
2005-08-12,2015-08-12,1.829776152553681,0.0937109159282032,-0.40699270523246156
2002-05-10,2012-05-10,1.3786817856750422,0.05038895814757281,-0.46196510673726354
2015-04-02,2025-04-02,2.314343816182482,0.12975062841424556,-0.22422133368748287
2012-09-24,2022-09-23,2.041932284700554,0.10985403260759656,-0.22892696746534058
2010-05-07,2020-05-07,2.110649154386126,0.11556598009883776,-0.23131755068354976
2006-03-02,2016-03-02,1.6913039618004313,0.08204601908195204,-0.3943890151627799
2013-06-13,2023-06-13,2.194329452362631,0.12119120164902578,-0.22775677317815313
2008-08-22,2018-08-22,2.273385720919986,0.12608215640054588,-0.3243057657220636
2006-11-14,2016-11-14,1.7731167559509902,0.08880944855487219,-0.37442567770684565
2006-12-28,2016-12-28,1.829971683988092,0.09309735223184112,-0.3707227386025992
2003-02-19,2013-02-19,1.630020009620518,0.07582215326367914,-0.46120870565682404
2000-10-09,2010-10-08,1.1009331597409855,0.01527298463183306,-0.4667155234676862
2008-10-20,2018-10-19,2.3859083643833543,0.13349322584918613,-0.19636045387438383
2014-07-30,2024-07-30,2.3764842821645917,0.1323203692081494,-0.2256332627476625
2000-04-13,2010-04-13,1.1103790288325839,0.016588567390216056,-0.468783985150789
2014-01-24,2024-01-24,2.27804333908402,0.12627179322628668,-0.22672213938150665
2013-07-16,2023-07-14,2.230677003297521,0.12363673388614439,-0.22757590831772412
2003-12-26,2013-12-26,1.7582170273812265,0.08712604994786638,-0.44076591462955794
